黑龙江省,哈尔滨市,黑龙江省,双江拉祜族佤族布朗族傣族自治县,云南省,临沧市,双江拉祜族佤族布朗族傣族自治县,,,
吉林省,黑河市,黑龙江省,积石山保安族东乡族撒拉族自治县,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,,
辽宁省,伊春市,黑龙江省,镇沅彝族哈尼族拉祜族自治县,云南省,普洱市,镇沅彝族哈尼族拉祜族自治县,,,
北京市,齐齐哈尔市,黑龙江省,元江哈尼族彝族傣族自治县,云南省,玉溪市,元江哈尼族彝族傣族自治县,,,
天津,鹤岗市,黑龙江省,孟连傣族拉祜族佤族自治县,云南省,普洱市,孟连傣族拉祜族佤族自治县,,,
河北省,佳木斯市,黑龙江省,威宁彝族回族苗族自治县,贵州省,毕节地区,威宁彝族回族苗族自治县,,,
山西省,双鸭山市,黑龙江省,前郭尔罗斯蒙古族自治县,吉林省,松原市,前郭尔罗斯蒙古族自治县,,,
内蒙古自治区,绥化市,黑龙江省,莫力达瓦达斡尔族自治旗,内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗,,,
江苏省,大庆市,黑龙江省,喀喇沁左翼蒙古族自治县,辽宁省,朝阳市,喀喇沁左翼蒙古族自治县,,,
浙江省,七台河市,黑龙江省,金平苗族瑶族傣族自治县,云南省,红河哈尼族彝族自治州,金平苗族瑶族傣族自治县,,,
安徽省,鸡西市,黑龙江省,紫云苗族布依族自治县,贵州省,安顺市,紫云苗族布依族自治县,,,
福建省,牡丹江市,黑龙江省,镇宁布依族苗族自治县,贵州省,安顺市,镇宁布依族苗族自治县,,,
江西省,绥芬河市,黑龙江省,酉阳土家族苗族自治县,重庆,重庆市,酉阳土家族苗族自治县,,,
山东省,长春市,吉林省,酉阳土家族苗族自治县,四川省,成都市,酉阳土家族苗族自治县,,,
台湾,白城市,吉林省,印江土家族苗族自治县,贵州省,铜仁地区,印江土家族苗族自治县,,,
河南省,松原市,吉林省,秀山土家族苗族自治县,重庆,重庆市,秀山土家族苗族自治县,,,
湖北省,吉林市,吉林省,务川仡佬族苗族自治县,贵州省,遵义市,务川仡佬族苗族自治县,,,
湖南省,四平市,吉林省,围场满族蒙古族自治县,河北省,承德市,围场满族蒙古族自治县,,,
广东省,辽源市,吉林省,彭水苗族土家族自治县,重庆,重庆市,彭水苗族土家族自治县,,,
广西壮族自治区,白山市,吉林省,宁洱哈尼族彝族自治县,云南省,普洱市,宁洱哈尼族彝族自治县,,,
海南省,通化市,吉林省,兰坪白族普米族自治县,云南省,怒江傈僳族自治州,兰坪白族普米族自治县,,,
四川省,延边朝鲜族自治州,吉林省,江城哈尼族彝族自治县,云南省,普洱市,江城哈尼族彝族自治县,,,
重庆市,沈阳市,辽宁省,和布克赛尔蒙古自治县,新疆维吾尔自治区,塔城地区,和布克赛尔蒙古自治县,,,
贵州省,铁岭市,辽宁省,关岭布依族苗族自治县,贵州省,安顺市,关岭布依族苗族自治县,,,
云南省,阜新市,辽宁省,贡山独龙族怒族自治县,云南省,怒江傈僳族自治州,贡山独龙族怒族自治县,,,
西藏自治区,抚顺市,辽宁省,杜尔伯特蒙古族自治县,黑龙江省,大庆市,杜尔伯特蒙古族自治县,,,
陕西省,本溪市,辽宁省,道真仡佬族苗族自治县,贵州省,遵义市,道真仡佬族苗族自治县,,,
甘肃省,辽阳市,辽宁省,阿克塞哈萨克族自治县,甘肃省,酒泉市,阿克塞哈萨克族自治县,,,
青海省,马鞍山市,安徽省,郑州经济技术开发区,河南省,郑州市,郑州经济技术开发区,,,
宁夏回族自治区,鞍山市,辽宁省,寻甸回族彝族自治县,云南省,昆明市,寻甸回族彝族自治县,,,
新疆维吾尔自治区,盘锦市,辽宁省,新平彝族傣族自治县,云南省,玉溪市,新平彝族傣族自治县,,,
上海,锦州市,辽宁省,巍山彝族回族自治县,云南省,大理白族自治州,巍山彝族回族自治县,,,
香港,葫芦岛市,辽宁省,琼中黎族苗族自治县,海南省,琼中黎族苗族自治县,琼中黎族苗族自治县,,,
澳门,营口市,辽宁省,民和回族土族自治县,青海省,海东地区,民和回族土族自治县,,,
,丹东市,辽宁省,民和回族土族自治县,青海省,海东地区,民和回族土族自治县,,,
,大连市,辽宁省,禄劝彝族苗族自治县,云南省,昆明市,禄劝彝族苗族自治县,,,
,北京市,北京,连山壮族瑶族自治县,广东省,清远市,连山壮族瑶族自治县,,,
,天津市,天津,靖州苗族侗族自治县,湖南省,怀化市,靖州苗族侗族自治县,,,
,石家庄市,河北省,景谷傣族彝族自治县,云南省,普洱市,景谷傣族彝族自治县,,,
,张家口市,河北省,耿马傣族佤族自治县,云南省,临沧市,耿马傣族佤族自治县,,,
,承德市,河北省,东侨经济技术开发区,福建省,宁德市,东侨经济技术开发区,,,
,唐山市,河北省,达尔罕茂明安联合旗,内蒙古自治区,包头市,达尔罕茂明安联合旗,,,
,秦皇岛市,河北省,保亭黎族苗族自治县,海南省,保亭黎族苗族自治县,保亭黎族苗族自治县,,,
,廊坊市,河北省,巴里坤哈萨克自治县,新疆维吾尔自治区,哈密地区,巴里坤哈萨克自治县,,,
,保定市,河北省,高新技术产业开发区,吉林省,长春市,高新技术产业开发区,,,
,沧州市,河北省,长阳土家族自治县,湖北省,宜昌市,长阳土家族自治县,,,
,衡水市,河北省,玉龙纳西族自治县,云南省,丽江市,玉龙纳西族自治县,,,
,,,武鸣县,广西壮族自治区,南宁市,武鸣县,,,,,,
,,,武隆县,四川省,成都市,武隆县,,,,,,
,,,武隆县,重庆,重庆市,武隆县,,,,,,
,,,武陵区,湖南省,常德市,武陵区,,,,,,
,,,武进区,江苏省,常州市,武进区,,,,,,
,,,武江区,广东省,韶关市,武江区,,,,,,
,,,武侯区,四川省,成都市,武侯区,,,,,,
,,,武功县,陕西省,咸阳市,武功县,,,,,,
,,,武冈市,湖南省,邵阳市,武冈市,,,,,,
,,,武都区,甘肃省,陇南市,武都区,,,,,,
,,,武定县,云南省,楚雄彝族自治州,武定县,,,,,,
,,,武川县,内蒙古自治区,呼和浩特市,武川县,,,,,,
,,,武城县,山东省,德州市,武城县,,,,,,
,,,武昌区,湖北省,武汉市,武昌区,,,,,,
,,,武安市,河北省,邯郸市,武安市,,,,,,
,,,五寨县,山西省,忻州市,五寨县,,,,,,
,,,五原县,内蒙古自治区,巴彦淖尔市,五原县,,,,,,
,,,五营区,黑龙江省,伊春市,五营区,,,,,,
,,,五台县,山西省,忻州市,五台县,,,,,,
,,,五莲县,山东省,日照市,五莲县,,,,,,
,,,五华县,广东省,梅州市,五华县,,,,,,
,,,五华区,云南省,昆明市,五华区,,,,,,
,,,五河县,安徽省,蚌埠市,五河县,,,,,,
,,,五常市,黑龙江省,哈尔滨市,五常市,,,,,,
,,,吴中区,江苏省,苏州市,吴中区,,,,,,
,,,吴兴区,浙江省,湖州市,吴兴区,,,,,,
,,,吴桥县,河北省,沧州市,吴桥县,,,,,,
,,,吴起县,陕西省,延安市,吴起县,,,,,,
,,,吴江区,江苏省,苏州市,吴江区,撤吴江市，设吴江区,,,,,
,,,吴川市,广东省,湛江市,吴川市,,,,,,
,,,吴堡县,陕西省,榆林市,吴堡县,,,,,,
,,,芜湖县,安徽省,芜湖市,芜湖县,,,,,,
,,,无为县,安徽省,芜湖市,无为县,,,,,,
,,,无极县,河北省,石家庄市,无极县,,,,,,
,,,无棣县,山东省,滨州市,无棣县,,,,,,
,,,巫溪县,四川省,成都市,巫溪县,,,,,,
,,,巫溪县,重庆,重庆市,巫溪县,,,,,,
,,,巫山县,四川省,成都市,巫山县,,,,,,
,,,巫山县,重庆,重庆市,巫山县,,,,,,
,,,乌苏市,新疆维吾尔自治区,塔城地区,乌苏市,,,,,,
,,,乌审旗,内蒙古自治区,鄂尔多斯市,乌审旗,,,,,,
,,,乌什县,新疆维吾尔自治区,阿克苏地区,乌什县,,,,,,
,,,乌恰县,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,乌恰县,,,,,,
,,,乌兰县,青海省,海西蒙古族藏族自治州,乌兰县,,,,,,
,,,乌当区,贵州省,贵阳市,乌当区,,,,,,
,,,乌达区,内蒙古自治区,乌海市,乌达区,,,,,,
,,,卧龙区,河南省,南阳市,卧龙区,,,,,,
,,,涡阳县,安徽省,亳州市,涡阳县,,,,,,
,,,瓮安县,贵州省,黔南布依族苗族自治州,瓮安县,,,,,,
,,,翁源县,广东省,韶关市,翁源县,,,,,,
,,,汶上县,山东省,济宁市,汶上县,,,,,,
,,,汶川县,四川省,阿坝藏族羌族自治州,汶川县,,,,,,
,,,闻喜县,山西省,运城市,闻喜县,,,,,,
,,,文水县,山西省,吕梁市,文水县,,,,,,
,,,文圣区,辽宁省,辽阳市,文圣区,,,,,,
,,,文山县,云南省,文山壮族苗族自治州,文山县,撤文山县，设文山市,,,,,
,,,文山市,云南省,文山壮族苗族自治州,文山市,撤文山县，设文山市,,,,,
,,,文峰区,河南省,安阳市,文峰区,,,,,,
,,,文登区,山东省,威海市,文登区,,,,,,
,,,文成县,浙江省,温州市,文成县,,,,,,
,,,文昌市,海南省,文昌市,文昌市,,,,,,
,,,文安县,河北省,廊坊市,文安县,,,,,,
,,,温宿县,新疆维吾尔自治区,阿克苏地区,温宿县,,,,,,
,,,温泉县,新疆维吾尔自治区,博尔塔拉蒙古自治州,温泉县,,,,,,
,,,温岭市,浙江省,台州市,温岭市,,,,,,
,,,温江区,四川省,成都市,温江区,,,,,,
,,,魏都区,河南省,许昌市,魏都区,,,,,,
,,,渭源县,甘肃省,定西市,渭源县,,,,,,
,,,渭城区,陕西省,咸阳市,渭城区,,,,,,
,,,渭滨区,陕西省,宝鸡市,渭滨区,,,,,,
,,,尉氏县,河南省,开封市,尉氏县,,,,,,
,,,尉犁县,新疆维吾尔自治区,巴音郭楞蒙古自治州,尉犁县,,,,,,
,,,未央区,陕西省,西安市,未央区,,,,,,
,,,卫辉市,河南省,新乡市,卫辉市,,,,,,
,,,卫东区,河南省,平顶山市,卫东区,,,,,,
,,,卫滨区,河南省,新乡市,卫滨区,,,,,,
,,,潍城区,山东省,潍坊市,潍城区,,,,,,
,,,微山县,山东省,济宁市,微山县,,,,,,
,,,威远县,四川省,内江市,威远县,,,,,,
,,,威信县,云南省,昭通市,威信县,,,,,,
,,,威宁县,贵州省,省直辖,威宁县,,,,,,
,,,望谟县,贵州省,黔西南布依族苗族自治州,望谟县,,,,,,
,,,望奎县,黑龙江省,绥化市,望奎县,,,,,,
,,,望江县,安徽省,安庆市,望江县,,,,,,
,,,望花区,辽宁省,抚顺市,望花区,,,,,,
,,,望都县,河北省,保定市,望都县,,,,,,
,,,望城区,湖南省,长沙市,望城区,,,,,,
,,,旺苍县,四川省,广元市,旺苍县,,,,,,
,,,王益区,陕西省,铜川市,王益区,,,,,,
,,,汪清县,吉林省,延边朝鲜族自治州,汪清县,,,,,,
,,,万州区,重庆,重庆市,万州区,,,,,,
,,,万载县,江西省,宜春市,万载县,,,,,,
,,,万源市,四川省,达州市,万源市,,,,,,
,,,万秀区,广西壮族自治区,梧州市,万秀区,,,,,,
,,,万山区,贵州省,铜仁地区,万山区,,,,,,
,,,万荣县,山西省,运城市,万荣县,,,,,,
,,,万全县,河北省,张家口市,万全县,,,,,,
,,,万宁市,海南省,万宁市,万宁市,,,,,,
,,,万年县,江西省,上饶市,万年县,,,,,,
,,,万安县,江西省,吉安市,万安县,,,,,,
,,,宛城区,河南省,南阳市,宛城区,,,,,,
,,,湾里区,江西省,南昌市,湾里区,,,,,,
,,,托里县,新疆维吾尔自治区,塔城地区,托里县,,,,,,
,,,屯溪区,安徽省,黄山市,屯溪区,,,,,,
,,,屯留县,山西省,长治市,屯留县,,,,,,
,,,屯昌县,海南省,屯昌县,屯昌县,,,,,,
,,,团风县,湖北省,黄冈市,团风县,,,,,,
,,,图们市,吉林省,延边朝鲜族自治州,图们市,,,,,,
,,,突泉县,内蒙古自治区,兴安盟,突泉县,,,,,,
,,,潼南县,四川省,成都市,潼南县,,,,,,
,,,潼南县,重庆,重庆市,潼南县,,,,,,
,,,潼关县,陕西省,渭南市,潼关县,,,,,,
,,,铜山县,江苏省,徐州市,铜山县,撤销徐州市九里区、江苏省铜山县，设立徐州市铜山区,,,,,
,,,铜山区,江苏省,徐州市,铜山区,,,,,,
,,,铜陵县,安徽省,铜陵市,铜陵县,,,,,,
,,,铜梁县,重庆,重庆市,铜梁县,旧称，撤铜梁县，设铜梁区,,,,,
,,,铜梁区,重庆,重庆市,铜梁区,旧称，撤铜梁县，设铜梁区,,,,,
,,,铜鼓县,江西省,宜春市,铜鼓县,,,,,,
,,,桐梓县,贵州省,遵义市,桐梓县,,,,,,
,,,桐乡市,浙江省,嘉兴市,桐乡市,,,,,,
,,,桐庐县,浙江省,杭州市,桐庐县,,,,,,
,,,桐城市,安徽省,安庆市,桐城市,,,,,,
,,,桐柏县,河南省,南阳市,桐柏县,,,,,,
,,,同心县,宁夏回族自治区,吴忠市,同心县,,,,,,
,,,同仁县,青海省,黄南藏族自治州,同仁县,,,,,,
,,,同江市,黑龙江省,佳木斯市,同江市,,,,,,
,,,同德县,青海省,海南藏族自治州,同德县,,,,,,
,,,同安区,福建省,厦门市,同安区,,,,,,
,,,通州区,北京,北京市,通州区,,,,,,
,,,通州区,江苏省,南通市,通州区,,,,,,
,,,通榆县,吉林省,白城市,通榆县,,,,,,
,,,通许县,河南省,开封市,通许县,,,,,,
,,,通渭县,甘肃省,定西市,通渭县,,,,,,
,,,通山县,湖北省,咸宁市,通山县,,,,,,
,,,通江县,四川省,巴中市,通江县,,,,,,
,,,通化县,吉林省,通化市,通化县,,,,,,
,,,通河县,黑龙江省,哈尔滨市,通河县,,,,,,
,,,通海县,云南省,玉溪市,通海县,,,,,,
,,,通川区,四川省,达州市,通川区,,,,,,
,,,通城县,湖北省,咸宁市,通城县,,,,,,
,,,亭湖区,江苏省,盐城市,亭湖区,,,,,,
,,,铁西区,吉林省,四平市,铁西区,,,,,,
,,,铁西区,辽宁省,沈阳市,铁西区,,,,,,
,,,铁西区,辽宁省,鞍山市,铁西区,,,,,,
,,,铁山区,湖北省,黄石市,铁山区,,,,,,
,,,铁岭县,辽宁省,铁岭市,铁岭县,,,,,,
,,,铁力市,黑龙江省,伊春市,铁力市,,,,,,
,,,铁锋区,黑龙江省,齐齐哈尔市,铁锋区,,,,,,
,,,铁东区,吉林省,四平市,铁东区,,,,,,
,,,铁东区,辽宁省,鞍山市,铁东区,,,,,,
,,,田阳县,广西壮族自治区,百色市,田阳县,,,,,,
,,,田林县,广西壮族自治区,百色市,田林县,,,,,,
,,,田东县,广西壮族自治区,百色市,田东县,,,,,,
,,,天柱县,贵州省,黔东南苗族侗族自治州,天柱县,,,,,,
,,,天镇县,山西省,大同市,天镇县,,,,,,
,,,天长市,安徽省,滁州市,天长市,,,,,,
,,,天元区,湖南省,株洲市,天元区,,,,,,
,,,天涯区,海南省,三亚市,天涯区,,,,,,
,,,天心区,湖南省,长沙市,天心区,,,,,,
,,,天台县,浙江省,台州市,天台县,,,,,,
,,,天山区,新疆维吾尔自治区,乌鲁木齐市,天山区,,,,,,
,,,天全县,四川省,雅安市,天全县,,,,,,
,,,天桥区,山东省,济南市,天桥区,,,,,,
,,,天宁区,江苏省,常州市,天宁区,,,,,,
,,,天门市,湖北省,省直辖,天门市,,,,,,
,,,天峻县,青海省,海西蒙古族藏族自治州,天峻县,,,,,,
,,,天河区,广东省,广州市,天河区,,,,,,
,,,天峨县,广西壮族自治区,河池市,天峨县,,,,,,
,,,天等县,广西壮族自治区,崇左市,天等县,,,,,,
,,,滕州市,山东省,枣庄市,滕州市,,,,,,
,,,腾冲县,云南省,保山市,腾冲县,,,,,,
,,,桃源县,湖南省,常德市,桃源县,,,,,,
,,,桃山区,黑龙江省,七台河市,桃山区,,,,,,
,,,桃江县,湖南省,益阳市,桃江县,,,,,,
,,,桃城区,河北省,衡水市,桃城区,,,,,,
,,,洮南市,吉林省,白城市,洮南市,,,,,,
,,,洮北区,吉林省,白城市,洮北区,,,,,,
,,,唐河县,河南省,南阳市,唐河县,,,,,,
,,,汤原县,黑龙江省,佳木斯市,汤原县,,,,,,
,,,汤阴县,河南省,安阳市,汤阴县,,,,,,
,,,覃塘区,广西壮族自治区,贵港市　　,覃塘区,,,,,,
,,,郯城县,山东省,临沂市,郯城县,,,,,,
,,,泰兴市,江苏省,泰州市,泰兴市,,,,,,
,,,泰顺县,浙江省,温州市,泰顺县,,,,,,
,,,泰山区,山东省,泰安市,泰山区,,,,,,
,,,泰宁县,福建省,三明市,泰宁县,,,,,,
,,,泰来县,黑龙江省,齐齐哈尔市,泰来县,,,,,,
,,,泰和县,江西省,吉安市,泰和县,,,,,,
,,,太平区,辽宁省,阜新市,太平区,,,,,,
,,,太康县,河南省,周口市,太康县,,,,,,
,,,太湖县,安徽省,安庆市,太湖县,,,,,,
,,,太和县,安徽省,阜阳市,太和县,,,,,,
,,,太和区,辽宁省,锦州市,太和区,,,,,,
,,,太谷县,山西省,晋中市,太谷县,,,,,,
,,,太仓市,江苏省,苏州市,太仓市,,,,,,
,,,太白县,陕西省,宝鸡市,太白县,,,,,,
,,,台山市,广东省,江门市,台山市,,,,,,
,,,台前县,河南省,濮阳市,台前县,,,,,,
,,,台江县,贵州省,黔东南苗族侗族自治州,台江县,,,,,,
,,,台江区,福建省,福州市,台江区,,,,,,
,,,台安县,辽宁省,鞍山市,台安县,,,,,,
,,,塔河县,黑龙江省,大兴安岭地区,塔河县,,,,,,
,,,塔城市,新疆维吾尔自治区,塔城地区,塔城市,,,,,,
,,,孙吴县,黑龙江省,黑河市,孙吴县,,,,,,
,,,遂溪县,广东省,湛江市,遂溪县,,,,,,
,,,遂平县,河南省,驻马店市,遂平县,,,,,,
,,,遂川县,江西省,吉安市,遂川县,,,,,,
,,,遂昌县,浙江省,丽水市,遂昌县,,,,,,
,,,绥中县,辽宁省,葫芦岛市,绥中县,,,,,,
,,,绥阳县,贵州省,遵义市,绥阳县,,,,,,
,,,绥宁县,湖南省,邵阳市,绥宁县,,,,,,
,,,绥棱县,黑龙江省,绥化市,绥棱县,,,,,,
,,,绥江县,云南省,昭通市,绥江县,,,,,,
,,,绥德县,陕西省,榆林市,绥德县,,,,,,
,,,绥滨县,黑龙江省,鹤岗市,绥滨县,,,,,,
,,,濉溪县,安徽省,淮北市,濉溪县,,,,,,
,,,睢阳区,河南省,商丘市,睢阳区,,,,,,
,,,睢宁县,江苏省,徐州市,睢宁县,,,,,,
,,,肃州区,甘肃省,酒泉市,肃州区,,,,,,
,,,肃宁县,河北省,沧州市,肃宁县,,,,,,
,,,苏仙区,湖南省,郴州市,苏仙区,,,,,,
,,,嵩明县,云南省,昆明市,嵩明县,,,,,,
,,,松滋市,湖北省,荆州市,松滋市,,,,,,
,,,松阳县,浙江省,丽水市,松阳县,,,,,,
,,,松溪县,福建省,南平市,松溪县,,,,,,
,,,松山区,内蒙古自治区,赤峰市,松山区,,,,,,
,,,松潘县,四川省,阿坝藏族羌族自治州,松潘县,,,,,,
,,,松岭区,黑龙江省,大兴安岭地区,松岭区,,,,,,
,,,松江区,上海,上海市,松江区,,,,,,
,,,松北区,黑龙江省,哈尔滨市,松北区,,,,,,
,,,泗阳县,江苏省,宿迁市,泗阳县,,,,,,
,,,泗水县,山东省,济宁市,泗水县,,,,,,
,,,泗洪县,江苏省,宿迁市,泗洪县,,,,,,
,,,四会市,广东省,肇庆市,四会市,,,,,,
,,,思南县,贵州省,铜仁地区,思南县,,,,,,
,,,思明区,福建省,厦门市,思明区,,,,,,
,,,思茅区,云南省,普洱市,思茅区,,,,,,
,,,朔城区,山西省,朔州市,朔城区,,,,,,
,,,顺义区,北京,北京市,顺义区,,,,,,
,,,顺庆区,四川省,南充市,顺庆区,,,,,,
,,,顺平县,河北省,保定市,顺平县,,,,,,
,,,顺德区,广东省,佛山市,顺德区,,,,,,
,,,顺城区,辽宁省,抚顺市,顺城区,,,,,,
,,,顺昌县,福建省,南平市,顺昌县,,,,,,
,,,水富县,云南省,昭通市,水富县,,,,,,
,,,水城县,贵州省,六盘水市,水城县,,,,,,
,,,双阳区,吉林省,长春市,双阳区,,,,,,
,,,双塔区,辽宁省,朝阳市,双塔区,,,,,,
,,,双清区,湖南省,邵阳市,双清区,,,,,,
,,,双桥区,河北省,承德市,双桥区,,,,,,
,,,双牌县,湖南省,永州市,双牌县,,,,,,
,,,双滦区,河北省,承德市,双滦区,,,,,,
,,,双流县,四川省,成都市,双流县,,,,,,
,,,双辽市,吉林省,四平市,双辽市,,,,,,
,,,双河市,新疆维吾尔自治区,省直管市,双河市,,,,,,
,,,双峰县,湖南省,娄底市,双峰县,,,,,,
,,,双城市,黑龙江省,哈尔滨市,双城市,,,,,,
,,,双柏县,云南省,楚雄彝族自治州,双柏县,,,,,,
,,,沭阳县,江苏省,宿迁市,沭阳县,,,,,,
,,,蜀山区,安徽省,合肥市,蜀山区,,,,,,
,,,疏勒县,新疆维吾尔自治区,喀什地区,疏勒县,,,,,,
,,,疏附县,新疆维吾尔自治区,喀什地区,疏附县,,,,,,
,,,舒兰市,吉林省,吉林市,舒兰市,,,,,,
,,,舒城县,安徽省,六安市,舒城县,,,,,,
,,,寿阳县,山西省,晋中市,寿阳县,,,,,,
,,,寿宁县,福建省,宁德市,寿宁县,,,,,,
,,,寿光市,山东省,潍坊市,寿光市,,,,,,
,,,市中区,山东省,济南市,市中区,,,,,,
,,,市中区,山东省,枣庄市,市中区,,,,,,
,,,市中区,四川省,内江市,市中区,,,,,,
,,,市中区,四川省,乐山市,市中区,,,,,,
,,,市辖区,湖北省,鄂州市,市辖区,,,,,,
,,,市辖区,甘肃省,定西市,市辖区,,,,,,
,,,市南区,山东省,青岛市,市南区,,,,,,
,,,市北区,山东省,青岛市,市北区,,,,,,
,,,始兴县,广东省,韶关市,始兴县,,,,,,
,,,石柱县,四川省,成都市,石柱土家族自治县,,,,,,
,,,石台县,安徽省,池州市,石台县,,,,,,
,,,石首市,湖北省,荆州市,石首市,,,,,,
,,,石狮市,福建省,泉州市,石狮市,,,,,,
,,,石泉县,陕西省,安康市,石泉县,,,,,,
,,,石渠县,四川省,甘孜藏族自治州,石渠县,,,,,,
,,,石阡县,贵州省,铜仁地区,石阡县,,,,,,
,,,石屏县,云南省,红河哈尼族彝族自治州,石屏县,,,,,,
,,,石棉县,四川省,雅安市,石棉县,,,,,,
,,,石门县,湖南省,常德市,石门县,,,,,,
,,,石楼县,山西省,吕梁市,石楼县,,,,,,
,,,石龙区,河南省,平顶山市,石龙区,,,,,,
,,,石拐区,内蒙古自治区,包头市,石拐区,,,,,,
,,,石鼓区,湖南省,衡阳市,石鼓区,,,,,,
,,,石峰区,湖南省,株洲市,石峰区,,,,,,
,,,石城县,江西省,赣州市,石城县,,,,,,
,,,浉河区,河南省,信阳市,浉河区,,,,,,
,,,施甸县,云南省,保山市,施甸县,,,,,,
,,,施秉县,贵州省,黔东南苗族侗族自治州,施秉县,,,,,,
,,,师宗县,云南省,曲靖市,师宗县,,,,,,
,,,嵊州市,浙江省,绍兴市,嵊州市,,,,,,
,,,嵊泗县,浙江省,舟山市,嵊泗县,,,,,,
,,,沈丘县,河南省,周口市,沈丘县,,,,,,
,,,沈河区,辽宁省,沈阳市,沈河区,,,,,,
,,,神木县,陕西省,榆林市,神木县,,,,,,
,,,神池县,山西省,忻州市,神池县,,,,,,
,,,什邡市,四川省,德阳市,什邡市,,,,,,
,,,深州市,河北省,衡水市,深州市,,,,,,
,,,深泽县,河北省,石家庄市,深泽县,,,,,,
,,,申扎县,西藏自治区,那曲地区,申扎县,,,,,,
,,,射阳县,江苏省,盐城市,射阳县,,,,,,
,,,射洪县,四川省,遂宁市,射洪县,,,,,,
,,,社旗县,河南省,南阳市,社旗县,,,,,,
,,,邵阳县,湖南省,邵阳市,邵阳县,,,,,,
,,,邵武市,福建省,南平市,邵武市,,,,,,
,,,邵东县,湖南省,邵阳市,邵东县,,,,,,
,,,韶山市,湖南省,湘潭市,韶山市,,,,,,
,,,尚志市,黑龙江省,哈尔滨市,尚志市,,,,,,
,,,尚义县,河北省,张家口市,尚义县,,,,,,
,,,上虞区,浙江省,绍兴市,上虞区,撤上虞市，设上虞区,,,,,
,,,上犹县,江西省,赣州市,上犹县,,,,,,
,,,上思县,广西壮族自治区,防城港市　　,上思县,,,,,,
,,,上饶县,江西省,上饶市,上饶县,,,,,,
,,,上林县,广西壮族自治区,南宁市,上林县,,,,,,
,,,上栗县,江西省,萍乡市,上栗县,,,,,,
,,,上街区,河南省,郑州市,上街区,,,,,,
,,,上杭县,福建省,龙岩市,上杭县,,,,,,
,,,上高县,江西省,宜春市,上高县,,,,,,
,,,上城区,浙江省,杭州市,上城区,,,,,,
,,,上蔡县,河南省,驻马店市,上蔡县,,,,,,
,,,商州区,陕西省,商洛市,商州区,,,,,,
,,,商水县,河南省,周口市,商水县,,,,,,
,,,商南县,陕西省,商洛市,商南县,,,,,,
,,,商河县,山东省,济南市,商河县,,,,,,
,,,商都县,内蒙古自治区,乌兰察布市,商都县,,,,,,
,,,商城县,河南省,信阳市,商城县,,,,,,
,,,鄯善县,新疆维吾尔自治区,吐鲁番地区,鄯善县,,,,,,
,,,山阴县,山西省,朔州市,山阴县,,,,,,
,,,山阳县,陕西省,商洛市,山阳县,,,,,,
,,,山阳区,河南省,焦作市,山阳区,,,,,,
,,,山亭区,山东省,枣庄市,山亭区,,,,,,
,,,山丹县,甘肃省,张掖市,山丹县,,,,,,
,,,山城区,河南省,鹤壁市,山城区,,,,,,
,,,莎车县,新疆维吾尔自治区,喀什地区,莎车县,,,,,,
,,,沙洋县,湖北省,荆门市,沙洋县,,,,,,
,,,沙雅县,新疆维吾尔自治区,阿克苏地区,沙雅县,,,,,,
,,,金沙县,贵州省,毕节地区,金沙县,,,,,,
,,,沙湾县,新疆维吾尔自治区,塔城地区,沙湾县,,,,,,
,,,沙湾区,四川省,乐山市,沙湾区,,,,,,
,,,沙市区,湖北省,荆州市,沙市区,,,,,,
,,,沙河市,河北省,邢台市,沙河市,,,,,,
,,,色达县,四川省,甘孜藏族自治州,色达县,,,,,,
,,,桑植县,湖南省,张家界市,桑植县,,,,,,
,,,桑日县,西藏自治区,山南地区,桑日县,,,,,,
,,,三原县,陕西省,咸阳市,三原县,,,,,,
,,,三元区,福建省,三明市,三元区,,,,,,
,,,三台县,四川省,绵阳市,三台县,,,,,,
,,,三穗县,贵州省,黔东南苗族侗族自治州,三穗县,,,,,,
,,,三水区,广东省,佛山市,三水区,,,,,,
,,,三山区,安徽省,芜湖市,三山区,,,,,,
,,,三门县,浙江省,台州市,三门县,,,,,,
,,,三河市,河北省,廊坊市,三河市,,,,,,
,,,赛罕区,内蒙古自治区,呼和浩特市,赛罕区,,,,,,
,,,萨迦县,西藏自治区,日喀则市,萨迦县,,,,,,
,,,萨嘎县,西藏自治区,日喀则市,萨嘎县,,,,,,
,,,若羌县,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,,,,,,
,,,润州区,江苏省,镇江市,润州区,,,,,,
,,,瑞丽市,云南省,德宏傣族景颇族自治州,瑞丽市,,,,,,
,,,瑞金市,江西省,赣州市,瑞金市,,,,,,
,,,瑞昌市,江西省,九江市,瑞昌市,,,,,,
,,,瑞安市,浙江省,温州市,瑞安市,,,,,,
,,,芮城县,山西省,运城市,芮城县,,,,,,
,,,乳山市,山东省,威海市,乳山市,,,,,,
,,,汝州市,河南省,平顶山市,汝州市,,,,,,
,,,汝阳县,河南省,洛阳市,汝阳县,,,,,,
,,,汝南县,河南省,驻马店市,汝南县,,,,,,
,,,汝城县,湖南省,郴州市,汝城县,,,,,,
,,,如皋市,江苏省,南通市,如皋市,,,,,,
